iso3,Year,Population
AFG,1998,19159996.0
AGO,1998,15159370.0
ALB,1998,3128530.0
ARE,1998,3040421.0
ARG,1998,36372860.0
ARM,1998,3208401.0
AUS,1998,18607584.0
AUT,1998,7976789.0
AZE,1998,7913000.0
BEL,1998,10203008.0
BEN,1998,6789489.0
BFA,1998,11240664.0
BGD,1998,129622332.0
BGR,1998,8256786.0
BIH,1998,4089356.0
BLR,1998,10071963.0
BOL,1998,8313394.0
BRA,1998,169159655.0
BWA,1998,1606899.0
CAN,1998,30155173.0
CHE,1998,7110001.0
CHL,1998,15127799.0
CHN,1998,1241935000.0
CIV,1998,16663948.0
CMR,1998,14144860.0
COD,1998,47297600.0
COG,1998,2952061.0
COL,1998,37792165.0
CRI,1998,3782838.0
CUB,1998,11034712.0
CZE,1998,10294373.0
DEU,1998,82047195.0
DNK,1998,5304219.0
DOM,1998,8310362.0
DZA,1998,30054133.0
ECU,1998,12251184.0
EGY,1998,69943294.0
ESP,1998,40223509.0
ETH,1998,63363524.0
FIN,1998,5153498.0
FRA,1998,60190684.0
GAB,1998,1211736.0
GBR,1998,58487141.0
GEO,1998,4243607.0
GHA,1998,18688036.0
GIN,1998,8081990.0
GRC,1998,10720509.0
GTM,1998,11139145.0
HKG,1998,6543700.0
HND,1998,6234431.0
HRV,1998,4532135.0
HUN,1998,10266570.0
IDN,1998,209826788.0
IND,1998,1018665080.0
IRL,1998,3712696.0
IRN,1998,64519859.0
IRQ,1998,22884399.0
ISR,1998,5971000.0
ITA,1998,56906744.0
JAM,1998,2569736.0
JOR,1998,5164284.0
JPN,1998,126400000.0
KAZ,1998,15647785.0
KEN,1998,28888057.0
KGZ,1998,4769015.0
KHM,1998,12058173.0
KOR,1998,46286503.0
KWT,1998,1844302.0
LAO,1998,5248266.0
LBN,1998,4181281.0
LBR,1998,2670124.0
LBY,1998,5140704.0
LKA,1998,18596003.0
LTU,1998,3549331.0
MAR,1998,27621648.0
MDA,1998,2935227.0
MDG,1998,15489364.0
MEX,1998,95575245.0
MKD,1998,2007523.0
MLI,1998,10919573.0
MMR,1998,44257793.0
MNG,1998,2323809.0
MOZ,1998,17340464.0
MRT,1998,2474651.0
MWI,1998,10792876.0
MYS,1998,21906713.0
NAM,1998,1732745.0
NER,1998,10741413.0
NGA,1998,119846254.0
NIC,1998,4883655.0
NLD,1998,15707209.0
NOR,1998,4431464.0
NZL,1998,3815000.0
OMN,1998,2222489.0
PAK,1998,146522356.0
PAN,1998,2893914.0
PER,1998,25738095.0
PHL,1998,75791024.0
PNG,1998,5166390.0
POL,1998,38663481.0
PRK,1998,23311564.0
PRT,1998,10160196.0
PRY,1998,4900025.0
QAT,1998,580540.0
ROU,1998,22507344.0
RUS,1998,147670784.0
SAU,1998,14922185.0
SDN,1998,26458999.0
SEN,1998,9502952.0
SGP,1998,3927213.0
SLE,1998,4295785.0
SLV,1998,5880781.0
SRB,1998,7567745.0
SSD,1998,5620068.0
SVK,1998,5390516.0
SVN,1998,1981629.0
SWE,1998,8850974.0
SYR,1998,15820413.0
TCD,1998,7938840.0
TGO,1998,4860913.0
THA,1998,61522630.0
TJK,1998,6176397.0
TKM,1998,4410507.0
TUN,1998,9541667.0
TUR,1998,63734383.0
TZA,1998,32420458.0
UGA,1998,22515806.0
UKR,1998,50379731.0
URY,1998,3239280.0
USA,1998,275854000.0
UZB,1998,24134929.0
VEN,1998,23601337.0
VNM,1998,75299660.0
YEM,1998,18446013.0
ZAF,1998,46223880.0
ZMB,1998,9482408.0
ZWE,1998,11594297.0
AFG,1999,19887785.0
AGO,1999,15667235.0
ALB,1999,3108778.0
ARE,1999,3266009.0
ARG,1999,36794682.0
ARM,1999,3167286.0
AUS,1999,18812264.0
AUT,1999,7992324.0
AZE,1999,7982750.0
BEL,1999,10226419.0
BEN,1999,7002818.0
BFA,1999,11574928.0
BGD,1999,132108065.0
BGR,1999,8210624.0
BIH,1999,4130305.0
BLR,1999,10026738.0
BOL,1999,8459806.0
BRA,1999,171641543.0
BWA,1999,1641997.0
CAN,1999,30401286.0
CHE,1999,7143991.0
CHL,1999,15319313.0
CHN,1999,1252735000.0
CIV,1999,17215935.0
CMR,1999,14525140.0
COD,1999,48912971.0
COG,1999,3032874.0
COL,1999,38454863.0
CRI,1999,3862101.0
CUB,1999,11072230.0
CZE,1999,10283860.0
DEU,1999,82100243.0
DNK,1999,5321799.0
DOM,1999,8446208.0
DZA,1999,30474354.0
ECU,1999,12470795.0
EGY,1999,71520954.0
ESP,1999,40386875.0
ETH,1999,65374561.0
FIN,1999,5165474.0
FRA,1999,60501986.0
GAB,1999,1243016.0
GBR,1999,58682466.0
GEO,1999,4157192.0
GHA,1999,19149864.0
GIN,1999,8265123.0
GRC,1999,10761698.0
GTM,1999,11422965.0
HKG,1999,6606500.0
HND,1999,6400463.0
HRV,1999,4512597.0
HUN,1999,10237530.0
IDN,1999,213004668.0
IND,1999,1038225823.0
IRL,1999,3754786.0
IRN,1999,65445391.0
IRQ,1999,23636527.0
ISR,1999,6125000.0
ITA,1999,56916317.0
JAM,1999,2589795.0
JOR,1999,5276444.0
JPN,1999,126631000.0
KAZ,1999,15455874.0
KEN,1999,29733408.0
KGZ,1999,4840422.0
